Trade_Name,Start_Date,End_Date,Purpose,Transaction,License
LIME HOUSE REAL ESTATE BROKER,31/03/2024,31/03/2025,Rent,2148,7452
ALLSOPP & ALLSOPP REAL ESTATE BROKER L.L.C,27/11/2023,27/11/2024,Rent,82326,613873
NBS REAL ESTATE L.L.C,22/04/2024,22/05/2024,Rent,351,1167437
K U N REAL ESTATE,21/10/2023,21/10/2024,Rent,8034,1067026
9 PROPERTIES,19/10/2023,19/10/2024,Rent,8010,570131
MAVERICK REAL ESTATE BROKERS,19/12/2023,18/08/2024,Rent,83756,732122
LEADING PROPERTIES,14/06/2023,13/06/2024,Rent,7230,1001628
121 PROPERTIES,13/02/2024,13/02/2025,Rent,87855,778352121
Elan Real Estate,10/09/2023,10/09/2024,Rent,77634,81527
NEXUS POINT REAL ESTATE BROKERAGE L.L.C,07/03/2024,07/03/2025,Rent,8777,10038
NEXUS POINT REAL ESTATE BROKERAGE L.L.C,07/03/2024,07/03/2025,Sell,8777,10038
ALTITUDE REAL ESTATE,06/02/2024,06/02/2025,Rent,87248,1017820
BLUE MARK REAL ESTATE,05/04/2024,04/05/2024,Rent,2632,108306
(BRANCH),03/07/2023,03/07/2024,Sell,73838,1062772
WHITE AND WHITE REAL ESTATE L.L.C,01/02/2024,01/02/2025,Rent,8612,23264
